HIP	HD	2MASS	Fe	Eu	EuII	
52676 	93385 	10461511-4127518 	-0.01 	-0.0225 		
53818 	95456 	11004079-3150218 	0.13 	0.108 		
53837 	95521 	11005027-4901114 	-0.18 	-0.1 		
54242 	96276 	11055072-2024326 	-0.05 	0.59 	0.275 	
54287 	96423 	11061973-4422239 	0.085 	-0.205 		
1128 	967 	00140450-1118418 	-0.64 	-0.24 	-0.32 	
54400 	96700 	11075444-3010284 	-0.21 	-0.21 		
54582 	97037 	11101335-0723217 	-0.1 	0.04 		
7404 	9782 	01352628-1322519 	0.06 	0.045 	0.4 	
31639 		06371463-2521398 	-0.52 	-0.4 		
966 	770 	00115603-4210199 	-0.165 	-0.09 		
1708 	1737 	00213121-2858532 	0.115 	0.33 		
2937 	3488 	00371824-5423375 	-0.1 			
3807 	4737 	00485671-4641515 	-0.045 	0.08 		
4829 	6192 	01020185-5700085 	0.02 	0.12 		
4890 	6245 	01024919-4623502 	-0.025 	0.36 		
5268 	6793 	01071866-6146309 	-0.025 	-0.03 		
7083 	9362 	01311510-4904214 	-0.34 	-0.255 		
9095 	12055 	01571008-4723069 	-0.07 	0.36 		
9440 	12438 		-0.595 	-0.53 	-0.38 	
10440 	13940 	02143195-4110004 	-0.055 	0.06 		
10907 	14703 	02202285-5647026 	0.075 	0.11 		
11043 	14832 	02221173-4311592 	-0.265 	-0.21 		
12486 	16815 	02404004-3951193 	-0.39 	-0.38 		
12608 	16975 	02420661-3823010 	0.03 	0.11 		
13907 	18650 	02590649-2854259 	0.09 	0.11 	0.14 	
15655 	21011 	03213344-4746359 	-0.125 	-0.15 		
16029 	21430 	03262252-2719028 	-0.355 	-0.15 		
16290 	22676 	03295889-7821065 	0.045 	0.12 		
17534 	23719 	03451589-4721340 	0.1 	0.15 		
17738 	23940 	03475603-3010043 	-0.37 	-0.28 		
17874 	24160 	03492725-3612007 	0.025 	0.1 		
20384 	28093 	04215330-6323113 	-0.145 	0.03 		
21248 	29085 	04333056-2945590 	-0.22 	-0.21 	0.02 	
21393 	29291 	04353305-3033444 	-0.005 			
21253 	29399 		0.14 	0.17 		
21914 	30185 	04424643-5028525 	-0.135 	-0.05 		
23430 	32436 	05020981-2616300 	0.16 	0.18 		
23377 	32453 	05013452-3943048 	-0.1 	0.43 		
23148 	34172 	04585107-8228137 	0.035 	0.15 		
25429 	36189 	05261928-5854447 	-0.04 	0.08 		
26649 	37811 	05394984-3237451 	-0.025 	0.08 		
27621 	39640 	05505321-5206316 	-0.13 			
27890 	40409 	05540606-6305230 	0.065 	0.66 		
30565 	46116 	06252867-6941251 	-0.335 	-0.26 		
32222 	49947 	06433676-7307054 	-0.225 	-0.08 		
36474 	59894 	07301856-4059212 	-0.155 	-0.03 		
36729 	60574 	07331332-4305106 	-0.435 	-0.05 		
37590 	62412 	07424816-2621045 	0.01 	0.01 		
37504 	63295 	07414925-7236219 	-0.17 	-0.12 		
42483 	73898 		-0.48 	-0.38 	-0.37 	
45856 	81101 	09205682-6224165 	-0.4 	-0.29 		
46026 	81169 	09231227-2850018 	-0.08 	0.02 	0.06 	
58082 	103462 	11544254-2542501 	-0.55 	-0.36 		
62500 	111295 	12482627-2735503 	-0.36 	-0.32 	-0.23 	
77729 	141832 	15521281-2953115 	0.12 	0.23 	0.19 	
88038 	163652 	17585568-3651300 	-0.385 	0.07 		
92086 	173378 	18460385-2729563 	-0.23 	-0.19 	0.01 	
95322 	181517 	19233693-5356462 	0.055 	0.04 		
95866 	182893 	19295258-5526302 	0.1 	0.16 		
101772 	196171 	20373402-4717292 	-0.09 	-0.03 		
102831 	198232 	20495810-3346471 	-0.08 	-0.15 		
103738 	199951 		-0.05 	-0.09 		
104752 	201852 	21131896-3625246 	-0.045 	0.03 		
71819 	129290 	14412878+1336052 	-0.15 	0.51 	0.01 	
74271 	134330 	15104321-4343008 	0.055 	0.02 		
90355 	169822 	18261008+0846395 	-0.152 	0.6 	0.24 	
30545 	45067 	06251652-0056448 	-0.04 	-0.06 	-0.075 	
171 	224930 	00021014+2704570 	-0.8 	-0.42 		
544 	166 	00063674+2901175 	0.14 	0.08 	0.38 	
2021 	2151 		-0.13 	-0.08 		
3765 	4628 	00482303+0516497 	-0.26 	-0.04 	0.27 	
3821 	4614 	00490622+5748545 	-0.25 	-0.16 	0.16 	
4148 	5133 	00530108-3021249 	-0.105 	0.15 		
