HIP	HD	2MASS	Fe	Eu	EuII	
43454 	75528 	08510149+1521022 	0.12 	0.83 	0.23 	
99171 	191067 	20080180-0040412 	-0.03 	-0.15 	0.28 	
79607 	146361 	16144084+3351307 		1.08 	0.51 	
69564 	124553 	14142131-0556516 	0.165 	0.91 	0.35 	
71729 	129132 		-0.16 	1.3 	-0.1 	
87895 	163840 		0.01 	0.76 	0.13 	
92549 	175225 	18513497+5258300 	0.16 	0.55 	0.39 	
94981 	181655 	19193897+3719500 	0.06 	0.6 	0.21 	
102642 	198387 	20475298+5224261 	-0.04 	-0.03 	0.02 	
19859 	26923 	04152879+0611128 	-0.03 	-0.03 	0.14 	
50546 	89319 	10192679+4823482 	0.23 	0.17 	0.55 	
53257 	94132 	10533074+6951140 	0.15 	0.22 	0.49 	
2941 	3443 		-0.165 	0.17 	0.01 	
24130 	33555 	05105801-0215148 	0.065 	0.15 	0.43 	
34608 	54563 	07100668+2114493 	-0.43 	-0.18 	-0.05 	
5947 	7238 	01163090+7954360 	0.05 	1.72 		
8044 	10486 	01431648+4519216 	0.32 	-0.03 	0.83 	
69493 	124425 	14134077-0050434 	0.05 	1.77 	0.26 	
82989 	153226 	16573205+1353027 	-0.01 	0.1 	0.29 	
88684 	165438 	18061519-0445044 	0.02 	0.02 	0.19 	
104788 	202582 			0.76 	-0.05 	
105312 	202940 		-0.285 	0.18 		
111974 	214850 	22405269+1432571 	-0.18 	0.3 	-0.12 	
84949 	157482 		0.12 	0.8 	-0.01 	
56832 	101242 	11390099+0603285 	0.067 	-8.67362e-18 		
45617 	79969 	09175344+2833384 	-0.05 	0.02 		
71743 	128987 	14403109-1612335 	0.06 	-0.05 		
5286 	6660 	01073785+2257189 	0.08 	0.05 		
13258 	17660 	02503683+1542360 	0.17 	0.32 		
19422 	25665 	04093502+6932292 	0.01 	0.07 		
42499 	73667 	08395078+1131214 	-0.58 	-0.28 		
47690 	84035 	09432563+4241309 	0.25 	0.17 		
63762 	115675 	13040719+8706554 	0.02 	0.05 		
70950 	127506 	14304497+3527135 	-0.08 			
98828 	190470 	20041005+2547248 	0.11 	0.12 		
45699 	80218 	09185885+1742195 	-0.31 	-0.14 		
35185 	56202 	07161855+0504338 	-0.04 	-0.05 		
475 	70 	00054166+5818478 	-0.34 	-0.18 		
530 	153 	00062601+4245098 	-0.01 	-0.01 		
1105 	912 	00134653+6451534 	-0.24 	-0.16 		
5775 	7424 	01140721-1625348 	-0.44 	0.16 		
6711 	8671 	01261868+4327279 	-0.19 	-0.04 		
8476 	11045 	01491613+3526256 	-0.37 	-0.16 		
11584 	15398 	02291749+2135377 	-0.08 	0.05 		
11923 	15777 	02335366+4930214 	-0.4 	-0.03 		
12262 	16067 	02375297+6519073 	-0.04 	-0.01 		
23080 	31501 	04575928+3416050 	-0.37 	-0.04 		
29248 	42160 	06100107+1756029 	-0.18 	-0.04 		
32650 	49409 	06483940+0737206 	-0.42 	0.1 		
40001 	67587 	08101145+3527184 	-0.3 	-0.23 		
59589 	106210 	12131312+1049179 	-0.13 	0.06 		
61157 	109154 	12315477+6830531 	-0.39 	-0.18 		
62507 	111367 	12483409+2635493 	-0.17 	-0.04 		
64103 	114094 	13081315+0346366 	-0.185 	-0.11 		
66051 	117858 	13323094+3602069 	-0.57 	-0.28 		
72604 	131042 	14504104+2254273 	-0.18 	0.03 		
72803 	131597 	14525162+4828060 	-0.65 	-0.33 		
73440 	133621 	15002700+7145558 	-0.47 	-0.28 		
74326 	135694 	15112894+7150275 	-0.19 			
80818 	149105 	16301497+4757080 	-0.2 	0.03 		
81312 	149890 	16362601+3056306 	-0.26 	-0.18 		
85964 	160078 	17340918+6005219 	-0.11 	-4.16334e-17 		
90745 	171009 	18305756+3355586 	-0.4 	-0.06 		
94842 	181047 	19175367+2522104 	-0.03 	0.02 		
104347 	201444 	21082195+3940169 	-0.59 	-0.25 		
109372 	210457 	22092826+4655149 	-0.26 	-0.09 		
109677 	210923 	22130323+3336120 	-0.2 	-0.1 		
111431 	214111 	22343085+6349111 	-0.05 	0.04 		
112263 	215442 	22441947+5126582 	-0.15 	-0.1 		
112595 	215942 	22481397+4131570 	-0.17 	0.03 		
112697 	216106 	22491754+5058362 	-0.33 	-0.22 		
114034 	218172 	23053532+2014273 	-0.21 	-0.01 		
114838 	219476 	23154165+3140321 	-0.59 	-0.35 		
117484 	223436 	23492129+2352275 	-0.03 	0.16 		
64386 		13114832+1822448 	-0.68 	-0.39 		
106335 		21321194+0013180 	-1.04 	-0.24 		
6748 	8829 	01265156-1303233 	0.21 	0.76 		
52279 	92545 	10405769-1211446 	-0.205 	0.2 		
50805 	89948 	10222184-2933213 	-0.295 	-0.14 		
98431 	188985 	19595829-4858310 	-0.335 	-0.01 		
65535 	116713 	13260776-3945182 	-0.18 	0.245 		
69176 	123585 	14093579-4422010 	-0.56 	0.35 		
49161 	87007 	10015859-1024193 	0.29 	0.33 		
59572 	106156 	12125752+1002155 	0.23 	0.09 		
68634 	122676 	14025689+1458314 	-0.055 	-0.06 		
75266 	136834 	15224254+0125069 	0.225 	0.32 		
78241 	143291 	15583206+2744239 	-0.385 	-0.08 		
92918 	175518 	18555297-0544425 	0.31 	0.25 		
75389 	137687 	15241799+6032577 	-0.56 	-0.22 		
17341 	22872 	03424167+5110235 	0.04 	-0.03 		
36976 	60779 	07360145-0309064 	-0.1 	-0.09 		
43766 	76095 	08545597+2611544 	-0.19 	0.03 		
76185 	138750 	15334024+0921125 	-0.18 	-0.17 		
84676 	156617 	17183927-0130357 	-0.03 	-0.05 		
90813 	171242 	18313007+4500358 	-0.22 	0.02 		
107060 	206373 	21410066+2920253 	-0.16 	-0.17 		
113651 	217511 	23010215+2223283 	-0.12 	0.02 		
65747 	117243 	13283931+2826547 	0.3 	0.17 		
70470 	126511 	14244897+4116307 	0.07 	0.07 		
44097 	76780 	08585572+2109588 	0.195 	0.12 		
74135 	134474 	15085871+3719065 	0.17 	0.2 		
97219 	187055 	19453031+5046212 	0.17 	0.01 		
10324 	13611 		-0.14 	0.11 		
94913 	181053 		-0.19 	-0.04 		
6322 	8270 	01210997-4731517 	-0.42 	-0.1 		
10119 	13551 	02100827-6045292 	-0.44 	-0.23 		
58070 	103419 	11543377+1752500 	-0.25 	-0.14 		
49738 	87899 	10091425+4617023 	-0.37 	-0.19 		
54109 	95980 	11041893+0547445 	-0.09 	-0.07 		
35872 	57901 	07234705+1257540 	-0.03 	0.01 		
723 	404 	00085726+6627239 	0.01 	0.02 		
